longitude,latitude,hour,cloud_cover,elevation,humidity,pressure,temperature,wind_dir,wind_speed
0,0,0,2.0,129.0,74.0,1006.0,19.9,111.0,20.1
1,0,0,2.0,116.0,74.0,1006.0,20.0,111.0,20.1
2,0,0,2.0,113.0,74.0,1006.0,20.0,111.0,20.1
3,0,0,3.0,115.0,73.0,1006.3,19.4,107.0,18.4
4,0,0,3.0,122.0,73.0,1006.3,19.3,107.0,18.4
5,0,0,3.0,134.0,73.0,1006.3,19.3,107.0,18.4
6,0,0,3.0,140.0,73.0,1006.3,19.2,107.0,18.4
7,0,0,5.0,135.0,73.0,1006.6,19.2,108.0,17.1
8,0,0,5.0,158.0,73.0,1006.6,19.1,108.0,17.1
9,0,0,5.0,135.0,73.0,1006.6,19.2,108.0,17.1
10,0,0,5.0,142.0,73.0,1006.6,19.2,108.0,17.1
11,0,0,8.0,97.0,72.0,1006.8,19.6,110.0,16.9
12,0,0,8.0,142.0,72.0,1006.8,19.3,110.0,16.9
13,0,0,8.0,115.0,72.0,1006.8,19.5,110.0,16.9
14,0,0,8.0,111.0,72.0,1006.8,19.5,110.0,16.9
15,0,0,15.0,119.0,73.0,1007.1,19.3,109.0,16.4
16,0,0,15.0,129.0,73.0,1007.1,19.2,109.0,16.4
17,0,0,15.0,138.0,73.0,1007.1,19.2,109.0,16.4
18,0,0,15.0,157.0,73.0,1007.1,19.0,109.0,16.4
19,0,0,29.0,151.0,75.0,1007.4,18.9,111.0,15.8
20,0,0,29.0,126.0,75.0,1007.4,19.0,111.0,15.8
21,0,0,29.0,128.0,75.0,1007.4,19.0,111.0,15.8
22,0,0,29.0,133.0,75.0,1007.4,19.0,111.0,15.8
23,0,0,48.0,142.0,78.0,1007.6,18.4,114.0,14.2
24,0,0,48.0,114.0,78.0,1007.6,18.6,114.0,14.2
25,0,0,48.0,140.0,78.0,1007.6,18.4,114.0,14.2
26,0,0,48.0,158.0,78.0,1007.6,18.3,114.0,14.2
27,0,0,57.0,128.0,78.0,1007.7,18.3,110.0,13.4
28,0,0,57.0,123.0,78.0,1007.7,18.3,110.0,13.4
29,0,0,57.0,106.0,78.0,1007.7,18.4,110.0,13.4
0,1,0,1.0,82.0,72.0,1006.1,20.3,111.0,19.3
1,1,0,1.0,101.0,72.0,1006.1,20.2,111.0,19.3
2,1,0,1.0,87.0,72.0,1006.1,20.3,111.0,19.3
3,1,0,1.0,99.0,72.0,1006.1,20.2,111.0,19.3
4,1,0,1.0,121.0,72.0,1006.1,20.0,111.0,19.3
5,1,0,3.0,131.0,73.0,1006.4,19.4,108.0,17.1
6,1,0,3.0,112.0,73.0,1006.4,19.6,108.0,17.1
7,1,0,3.0,122.0,73.0,1006.4,19.5,108.0,17.1
8,1,0,3.0,150.0,73.0,1006.4,19.3,108.0,17.1
9,1,0,3.0,145.0,73.0,1006.7,19.4,112.0,17.4
10,1,0,3.0,139.0,73.0,1006.7,19.4,112.0,17.4
11,1,0,3.0,115.0,73.0,1006.7,19.6,112.0,17.4
12,1,0,3.0,100.0,73.0,1006.7,19.7,112.0,17.4
13,1,0,2.0,144.0,72.0,1006.9,19.4,111.0,17.3
14,1,0,2.0,154.0,72.0,1006.9,19.3,111.0,17.3
15,1,0,2.0,146.0,72.0,1006.9,19.4,111.0,17.3
16,1,0,2.0,171.0,72.0,1006.9,19.2,111.0,17.3
17,1,0,2.0,169.0,74.0,1007.2,19.0,109.0,16.7
18,1,0,2.0,169.0,74.0,1007.2,19.0,109.0,16.7
19,1,0,2.0,154.0,74.0,1007.2,19.1,109.0,16.7
20,1,0,2.0,147.0,74.0,1007.2,19.2,109.0,16.7
21,1,0,10.0,166.0,76.0,1007.4,18.6,109.0,15.3
22,1,0,10.0,137.0,76.0,1007.4,18.8,109.0,15.3
23,1,0,10.0,161.0,76.0,1007.4,18.7,109.0,15.3
24,1,0,10.0,145.0,76.0,1007.4,18.8,109.0,15.3
25,1,0,26.0,155.0,77.0,1007.6,18.3,110.0,13.4
26,1,0,26.0,147.0,77.0,1007.6,18.3,110.0,13.4
27,1,0,26.0,157.0,77.0,1007.6,18.2,110.0,13.4
28,1,0,26.0,116.0,77.0,1007.6,18.5,110.0,13.4
29,1,0,44.0,101.0,76.0,1007.7,18.6,108.0,13.7
0,2,0,1.0,82.0,72.0,1006.1,20.3,111.0,19.3
1,2,0,1.0,82.0,72.0,1006.1,20.3,111.0,19.3
2,2,0,1.0,116.0,72.0,1006.1,20.1,111.0,19.3
3,2,0,1.0,101.0,72.0,1006.1,20.2,111.0,19.3
4,2,0,1.0,115.0,72.0,1006.1,20.1,111.0,19.3
5,2,0,3.0,142.0,73.0,1006.4,19.4,108.0,17.1
6,2,0,3.0,142.0,73.0,1006.4,19.4,108.0,17.1
7,2,0,3.0,125.0,73.0,1006.4,19.5,108.0,17.1
8,2,0,3.0,113.0,73.0,1006.4,19.6,108.0,17.1
9,2,0,3.0,97.0,73.0,1006.7,19.7,112.0,17.4
10,2,0,3.0,107.0,73.0,1006.7,19.6,112.0,17.4
11,2,0,3.0,126.0,73.0,1006.7,19.5,112.0,17.4
12,2,0,3.0,141.0,73.0,1006.7,19.4,112.0,17.4
13,2,0,2.0,158.0,72.0,1006.9,19.3,111.0,17.3
14,2,0,2.0,154.0,72.0,1006.9,19.3,111.0,17.3
15,2,0,2.0,149.0,72.0,1006.9,19.4,111.0,17.3
16,2,0,2.0,161.0,72.0,1006.9,19.3,111.0,17.3
17,2,0,2.0,169.0,74.0,1007.2,19.0,109.0,16.7
18,2,0,2.0,147.0,74.0,1007.2,19.2,109.0,16.7
19,2,0,2.0,151.0,74.0,1007.2,19.1,109.0,16.7
20,2,0,2.0,154.0,74.0,1007.2,19.1,109.0,16.7
21,2,0,10.0,142.0,76.0,1007.4,18.8,109.0,15.3
22,2,0,10.0,165.0,76.0,1007.4,18.6,109.0,15.3
23,2,0,10.0,163.0,76.0,1007.4,18.6,109.0,15.3
24,2,0,10.0,151.0,76.0,1007.4,18.7,109.0,15.3
25,2,0,26.0,135.0,77.0,1007.6,18.4,110.0,13.4
26,2,0,26.0,169.0,76.0,1007.6,18.2,110.0,13.4
27,2,0,26.0,144.0,77.0,1007.6,18.3,110.0,13.4
28,2,0,26.0,113.0,77.0,1007.6,18.5,110.0,13.4
29,2,0,44.0,101.0,76.0,1007.7,18.6,108.0,13.7
0,3,0,1.0,82.0,73.0,1006.2,20.2,111.0,17.8
1,3,0,1.0,82.0,73.0,1006.2,20.2,111.0,17.8
2,3,0,1.0,105.0,72.0,1006.2,20.1,111.0,17.8
3,3,0,1.0,123.0,72.0,1006.2,20.0,111.0,17.8
4,3,0,1.0,123.0,72.0,1006.2,20.0,111.0,17.8
5,3,0,1.0,144.0,72.0,1006.2,19.8,111.0,17.8
6,3,0,1.0,120.0,72.0,1006.2,20.0,111.0,17.8
7,3,0,2.0,87.0,76.0,1006.5,19.8,112.0,17.4
8,3,0,2.0,107.0,76.0,1006.5,19.7,112.0,17.4
9,3,0,2.0,135.0,75.0,1006.5,19.5,112.0,17.4
10,3,0,2.0,138.0,75.0,1006.5,19.5,112.0,17.4
11,3,0,2.0,140.0,75.0,1006.7,19.5,112.0,17.4
12,3,0,2.0,155.0,75.0,1006.7,19.4,112.0,17.4
13,3,0,2.0,138.0,75.0,1006.7,19.5,112.0,17.4
14,3,0,2.0,135.0,75.0,1006.7,19.5,112.0,17.4
15,3,0,2.0,124.0,74.0,1007.0,19.3,109.0,16.7
16,3,0,2.0,130.0,74.0,1007.0,19.3,109.0,16.7
17,3,0,2.0,142.0,74.0,1007.0,19.2,109.0,16.7
18,3,0,2.0,147.0,74.0,1007.0,19.2,109.0,16.7
19,3,0,2.0,129.0,76.0,1007.2,19.0,104.0,16.0
20,3,0,2.0,140.0,76.0,1007.2,19.0,104.0,16.0
21,3,0,2.0,152.0,76.0,1007.2,18.9,104.0,16.0
22,3,0,2.0,160.0,76.0,1007.2,18.8,104.0,16.0
23,3,0,5.0,150.0,76.0,1007.5,18.6,105.0,14.1
24,3,0,5.0,122.0,76.0,1007.5,18.7,105.0,14.1
25,3,0,5.0,145.0,76.0,1007.5,18.6,105.0,14.1
26,3,0,5.0,137.0,76.0,1007.5,18.6,105.0,14.1
27,3,0,10.0,149.0,77.0,1007.6,18.4,107.0,13.9
28,3,0,10.0,112.0,77.0,1007.6,18.6,107.0,13.9
29,3,0,10.0,101.0,77.0,1007.6,18.7,107.0,13.9
0,4,0,0.0,82.0,76.0,1005.9,20.6,119.0,19.0
1,4,0,0.0,82.0,75.0,1006.1,20.5,116.0,18.8
2,4,0,0.0,82.0,75.0,1006.1,20.5,116.0,18.8
3,4,0,0.0,117.0,75.0,1006.1,20.3,116.0,18.8
4,4,0,0.0,114.0,75.0,1006.1,20.3,116.0,18.8
5,4,0,0.0,119.0,75.0,1006.3,19.7,112.0,17.4
6,4,0,0.0,89.0,75.0,1006.3,19.9,112.0,17.4
7,4,0,0.0,96.0,75.0,1006.3,19.9,112.0,17.4
8,4,0,0.0,121.0,75.0,1006.3,19.7,112.0,17.4
9,4,0,0.0,134.0,76.0,1006.6,19.6,111.0,17.8
10,4,0,0.0,129.0,76.0,1006.6,19.6,111.0,17.8
11,4,0,0.0,163.0,76.0,1006.6,19.4,111.0,17.8
12,4,0,0.0,153.0,76.0,1006.6,19.4,111.0,17.8
13,4,0,1.0,141.0,77.0,1006.8,19.3,110.0,16.9
14,4,0,1.0,125.0,77.0,1006.8,19.4,110.0,16.9
15,4,0,1.0,113.0,77.0,1006.8,19.5,110.0,16.9
16,4,0,1.0,107.0,77.0,1006.8,19.5,110.0,16.9
17,4,0,2.0,143.0,77.0,1007.0,19.1,106.0,16.1
18,4,0,2.0,151.0,77.0,1007.0,19.1,106.0,16.1
19,4,0,2.0,146.0,77.0,1007.0,19.1,106.0,16.1
20,4,0,2.0,115.0,77.0,1007.0,19.3,106.0,16.1
21,4,0,2.0,128.0,77.0,1007.3,19.0,104.0,14.8
22,4,0,2.0,132.0,77.0,1007.3,19.0,104.0,14.8
23,4,0,2.0,133.0,77.0,1007.3,18.9,104.0,14.8
24,4,0,2.0,142.0,77.0,1007.3,18.9,104.0,14.8
25,4,0,4.0,120.0,77.0,1007.4,18.8,105.0,13.8
26,4,0,4.0,120.0,77.0,1007.4,18.8,105.0,13.8
27,4,0,4.0,115.0,77.0,1007.4,18.8,105.0,13.8
28,4,0,4.0,135.0,77.0,1007.4,18.7,105.0,13.8
29,4,0,8.0,100.0,77.0,1007.6,18.9,108.0,14.3
0,5,0,0.0,82.0,76.0,1005.9,20.6,119.0,19.0
1,5,0,0.0,82.0,75.0,1006.1,20.5,116.0,18.8
2,5,0,0.0,124.0,75.0,1006.1,20.2,116.0,18.8
3,5,0,0.0,111.0,75.0,1006.1,20.3,116.0,18.8
4,5,0,0.0,112.0,75.0,1006.1,20.3,116.0,18.8
5,5,0,0.0,111.0,75.0,1006.3,19.8,112.0,17.4
6,5,0,0.0,81.0,75.0,1006.3,20.0,112.0,17.4
7,5,0,0.0,89.0,75.0,1006.3,19.9,112.0,17.4
8,5,0,0.0,120.0,75.0,1006.3,19.7,112.0,17.4
9,5,0,0.0,132.0,76.0,1006.6,19.6,111.0,17.8
10,5,0,0.0,127.0,76.0,1006.6,19.6,111.0,17.8
11,5,0,0.0,128.0,76.0,1006.6,19.6,111.0,17.8
12,5,0,0.0,141.0,76.0,1006.6,19.5,111.0,17.8
13,5,0,1.0,134.0,77.0,1006.8,19.4,110.0,16.9
14,5,0,1.0,130.0,77.0,1006.8,19.4,110.0,16.9
15,5,0,1.0,141.0,77.0,1006.8,19.3,110.0,16.9
16,5,0,1.0,114.0,77.0,1006.8,19.5,110.0,16.9
17,5,0,2.0,133.0,77.0,1007.0,19.2,106.0,16.1
18,5,0,2.0,129.0,77.0,1007.0,19.2,106.0,16.1
19,5,0,2.0,148.0,77.0,1007.0,19.1,106.0,16.1
20,5,0,2.0,113.0,77.0,1007.0,19.3,106.0,16.1
21,5,0,2.0,96.0,77.0,1007.3,19.2,104.0,14.8
22,5,0,2.0,134.0,77.0,1007.3,18.9,104.0,14.8
23,5,0,2.0,124.0,77.0,1007.3,19.0,104.0,14.8
24,5,0,2.0,131.0,77.0,1007.3,19.0,104.0,14.8
25,5,0,4.0,118.0,77.0,1007.4,18.8,105.0,13.8
26,5,0,4.0,121.0,77.0,1007.4,18.8,105.0,13.8
27,5,0,4.0,119.0,77.0,1007.4,18.8,105.0,13.8
28,5,0,4.0,124.0,77.0,1007.4,18.8,105.0,13.8
29,5,0,8.0,105.0,77.0,1007.6,18.9,108.0,14.3
0,6,0,0.0,82.0,76.0,1006.2,19.8,113.0,18.1
1,6,0,0.0,82.0,76.0,1006.2,19.8,113.0,18.1
2,6,0,0.0,82.0,76.0,1006.2,19.8,113.0,18.1
3,6,0,0.0,107.0,76.0,1006.2,19.7,113.0,18.1
4,6,0,0.0,110.0,76.0,1006.2,19.7,113.0,18.1
5,6,0,0.0,96.0,76.0,1006.2,19.8,113.0,18.1
6,6,0,0.0,88.0,76.0,1006.2,19.8,113.0,18.1
7,6,0,0.0,85.0,77.0,1006.4,19.8,110.0,18.3
8,6,0,0.0,93.0,77.0,1006.4,19.8,110.0,18.3
9,6,0,0.0,111.0,77.0,1006.4,19.6,110.0,18.3
10,6,0,0.0,122.0,77.0,1006.4,19.6,110.0,18.3
11,6,0,0.0,138.0,78.0,1006.7,19.4,108.0,17.1
12,6,0,0.0,126.0,78.0,1006.7,19.5,108.0,17.1
13,6,0,0.0,143.0,78.0,1006.7,19.4,108.0,17.1
14,6,0,0.0,142.0,78.0,1006.7,19.4,108.0,17.1
15,6,0,0.0,150.0,77.0,1006.9,19.1,106.0,15.7
16,6,0,0.0,129.0,77.0,1006.9,19.2,106.0,15.7
17,6,0,0.0,117.0,77.0,1006.9,19.3,106.0,15.7
18,6,0,0.0,108.0,77.0,1006.9,19.4,106.0,15.7
19,6,0,1.0,121.0,78.0,1007.1,19.3,104.0,16.0
20,6,0,1.0,125.0,78.0,1007.1,19.2,104.0,16.0
21,6,0,1.0,119.0,78.0,1007.1,19.3,104.0,16.0
22,6,0,1.0,129.0,78.0,1007.1,19.2,104.0,16.0
